50

New York,Memphis,1,1536,384,12/19/2022 7:09,7.5,1.67E+12
New York,Atlanta,2,1202,300.5,12/17/2022 15:32,6,1.67E+12
New York,Omaha,3,1845,461.25,12/17/2022 7:33,9,1.67E+12
New York,Detroit,4,774,193.5,12/19/2022 15:11,3.5,1.67E+12
New York,Boston,5,307,76.75,12/18/2022 1:46,1.5,1.67E+12
New York,Houston,6,2285,571.25,12/17/2022 5:37,11,1.67E+12
New York,Portland,7,3931,982.75,12/18/2022 17:08,19.5,1.67E+12
New York,Mesa,8,3430,857.5,12/19/2022 11:57,17,1.67E+12
New York,Raleigh,9,683,170.75,12/19/2022 2:41,3,1.67E+12
New York,Virginia Beach,10,463,115.75,12/17/2022 11:14,2,1.67E+12
Los Angeles,Philadelphia,11,3849,962.25,12/19/2022 23:47,19,1.67E+12
Los Angeles,Omaha,12,2111,527.75,12/17/2022 16:43,10.5,1.67E+12
Los Angeles,Raleigh,13,3597,899.25,12/17/2022 8:54,17.5,1.67E+12
Los Angeles,Indianapolis,14,2910,727.5,12/17/2022 17:09,14.5,1.67E+12
Los Angeles,Arlington,15,1967,491.75,12/19/2022 3:59,9.5,1.67E+12
Los Angeles,Washington,16,3697,924.25,12/17/2022 17:08,18,1.67E+12
Los Angeles,Fort Worth,17,1947,486.75,12/19/2022 8:23,9.5,1.67E+12
Los Angeles,Charlotte,18,3409,852.25,12/17/2022 13:01,17,1.67E+12
Los Angeles,Las Vegas,19,368,92,12/18/2022 1:19,1.5,1.67E+12
Los Angeles,Colorado Springs,20,1313,328.25,12/17/2022 4:23,6.5,1.67E+12
Chicago,Virginia Beach,21,1147,286.75,12/18/2022 20:55,5.5,1.67E+12
Chicago,Washington,22,957,239.25,12/19/2022 5:00,4.5,1.67E+12
Chicago,Phoenix,23,2340,585,12/17/2022 17:59,11.5,1.67E+12
Chicago,Bakersfield,24,2808,702,12/17/2022 20:59,14,1.67E+12
Chicago,Miami,25,1920,480,12/18/2022 19:59,9.5,1.67E+12
Chicago,Fort Worth,26,1331,332.75,12/17/2022 13:39,6.5,1.67E+12
Chicago,Wichita,27,951,237.75,12/19/2022 11:14,4.5,1.67E+12
Chicago,Tucson,28,2322,580.5,12/18/2022 8:12,11.5,1.67E+12
Chicago,San Jose,29,2962,740.5,12/18/2022 13:10,14.5,1.67E+12
Chicago,Dallas,30,1297,324.25,12/17/2022 13:17,6,1.67E+12
Houston,Phoenix,31,1634,408.5,12/19/2022 0:41,8,1.67E+12
Houston,Sacramento,32,2588,647,12/18/2022 3:38,12.5,1.67E+12
Houston,Portland,33,2955,738.75,12/18/2022 5:47,14.5,1.67E+12
Houston,Long Beach,34,2201,550.25,12/19/2022 18:16,11,1.67E+12
Houston,Fresno,35,2394,598.5,12/19/2022 10:29,11.5,1.67E+12
Houston,Bakersfield,36,2299,574.75,12/17/2022 13:33,11,1.67E+12
Houston,Minneapolis,37,1705,426.25,12/17/2022 19:54,8.5,1.67E+12
Houston,Washington,38,1963,490.75,12/19/2022 9:13,9.5,1.67E+12
Houston,El Paso,39,1086,271.5,12/17/2022 6:47,5,1.67E+12
Houston,Baltimore,40,2015,503.75,12/17/2022 16:30,10,1.67E+12
Phoenix,San Antonio,41,1365,341.25,12/17/2022 0:23,6.5,1.67E+12
Phoenix,Chicago,42,2340,585,12/18/2022 23:42,11.5,1.67E+12
Phoenix,Washington,43,3187,796.75,12/17/2022 9:13,15.5,1.67E+12
Phoenix,Indianapolis,44,2411,602.75,12/17/2022 5:42,12,1.67E+12
Phoenix,Tulsa,45,1499,374.75,12/18/2022 12:39,7,1.67E+12
Phoenix,Milwaukee,46,2356,589,12/18/2022 2:24,11.5,1.67E+12
Phoenix,Denver,47,944,236,12/19/2022 5:39,4.5,1.67E+12
Phoenix,San Francisco,48,1052,263,12/17/2022 8:24,5,1.67E+12
Phoenix,Boston,49,3699,924.75,12/19/2022 18:08,18,1.67E+12
Phoenix,Los Angeles,50,575,143.75,12/19/2022 16:39,2.5,1.67E+12
Philadelphia,Atlanta,51,1072,268,12/19/2022 11:39,5,1.67E+12
Philadelphia,Sacramento,52,3951,987.75,12/19/2022 12:42,19.5,1.67E+12
Philadelphia,San Diego,53,3816,954,12/17/2022 6:12,19,1.67E+12
Philadelphia,Seattle,54,3825,956.25,12/18/2022 0:29,19,1.67E+12
Philadelphia,Jacksonville,55,1223,305.75,12/18/2022 21:02,6,1.67E+12
Philadelphia,Denver,56,2538,634.5,12/19/2022 11:47,12.5,1.67E+12
Philadelphia,San Jose,57,4027,1006.75,12/19/2022 15:06,20,1.67E+12
Philadelphia,Arlington,58,2119,529.75,12/19/2022 16:28,10.5,1.67E+12
Philadelphia,Fort Worth,59,2137,534.25,12/19/2022 3:25,10.5,1.67E+12
Philadelphia,Kansas City,60,1667,416.75,12/19/2022 0:46,8,1.67E+12
San Antonio,Tulsa,61,785,196.25,12/19/2022 9:06,3.5,1.67E+12
San Antonio,Denver,62,1293,323.25,12/18/2022 10:45,6,1.67E+12
San Antonio,Nashville-Davidson,63,1327,331.75,12/18/2022 12:44,6.5,1.67E+12
San Antonio,Philadelphia,64,2426,606.5,12/18/2022 16:08,12,1.67E+12
San Antonio,Wichita,65,926,231.5,12/18/2022 0:13,4.5,1.67E+12
San Antonio,Charlotte,66,1779,444.75,12/17/2022 16:45,8.5,1.67E+12
San Antonio,Miami,67,1849,462.25,12/19/2022 20:23,9,1.67E+12
San Antonio,Baltimore,68,2283,570.75,12/18/2022 9:05,11,1.67E+12
San Antonio,Detroit,69,1996,499,12/17/2022 15:49,9.5,1.67E+12
San Diego,Jacksonville,70,3365,841.25,12/19/2022 6:25,16.5,1.67E+12
San Diego,San Jose,71,671,167.75,12/17/2022 21:19,3,1.67E+12
San Diego,Indianapolis,72,2877,719.25,12/18/2022 11:34,14,1.67E+12
San Diego,Mesa,73,503,125.75,12/18/2022 15:52,2.5,1.67E+12
San Diego,El Paso,74,1010,252.5,12/18/2022 7:04,5,1.67E+12
San Diego,Oklahoma City,75,1834,458.5,12/19/2022 11:36,9,1.67E+12
San Diego,Baltimore,76,3693,923.25,12/18/2022 9:44,18,1.67E+12
San Diego,Fort Worth,77,1856,464,12/17/2022 6:36,9,1.67E+12
San Diego,Chicago,78,2790,697.5,12/19/2022 23:26,13.5,1.67E+12
San Diego,Colorado Springs,79,1304,326,12/18/2022 22:53,6.5,1.67E+12
Dallas,Detroit,80,1610,402.5,12/18/2022 8:42,8,1.67E+12
Dallas,Tucson,81,1327,331.75,12/17/2022 3:52,6.5,1.67E+12
Dallas,Nashville-Davidson,82,993,248.25,12/19/2022 18:59,4.5,1.67E+12
Dallas,Denver,83,1068,267,12/17/2022 12:59,5,1.67E+12
Dallas,Atlanta,84,1160,290,12/18/2022 9:55,5.5,1.67E+12
Dallas,Virginia Beach,85,1952,488,12/19/2022 21:50,9.5,1.67E+12
Dallas,Philadelphia,86,2091,522.75,12/19/2022 7:35,10,1.67E+12
Dallas,Fort Worth,87,49,12.25,12/18/2022 17:07,0.75,1.67E+12
Dallas,Bakersfield,88,2065,516.25,12/19/2022 12:20,10,1.67E+12
